sample_uid	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220355	0	17310	160	264	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	311	293	0	0	0	221	0	0	0	194	0	169	0	0	0	177	138	141	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220354	0	23769	203	358	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	368	397	0	0	0	297	0	0	0	227	0	185	0	0	0	199	164	208	0	0	0	142	0	172	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220357	0	26497	270	425	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	404	403	0	0	0	362	0	0	0	246	0	277	0	0	0	198	207	207	0	0	0	162	0	227	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	9	9	0	0	0	0	0	0	0	0	0
220356	0	22018	207	349	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	119	0	0	157	0	0	0	0	348	344	0	0	0	288	0	0	0	210	0	220	0	0	0	174	156	152	0	0	0	173	0	157	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	4	0	0
220358	0	20914	211	276	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	364	408	0	0	0	277	0	0	0	208	0	228	0	0	0	133	205	165	0	0	0	181	0	148	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	6	0	0	0
220363	0	16592	138	387	0	126	250	0	355	0	0	102	210	0	0	0	0	0	0	0	107	82	0	0	137	140	0	0	0	119	0	0	0	0	197	0	0	0	174	0	0	0	115	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220359	0	21472	211	437	0	197	321	0	470	0	0	152	293	0	0	0	0	0	0	0	143	127	0	0	190	182	0	0	0	0	0	0	0	0	274	0	0	0	261	0	0	0	164	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220351	0	20490	203	287	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	109	0	0	128	0	247	0	0	317	324	0	0	0	262	0	0	0	225	0	192	0	0	0	198	168	164	0	0	0	153	0	182	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
220353	0	15757	147	215	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	103	0	0	0	0	281	0	0	260	201	0	0	0	208	0	0	0	187	0	185	0	0	0	144	131	115	0	0	0	124	0	139	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220373	0	24105	535	0	0	0	0	0	0	0	0	229	0	332	0	0	0	0	266	216	0	0	135	0	0	0	0	0	0	0	0	0	160	157	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220323	0	23766	590	0	0	0	0	0	0	0	0	249	0	362	0	0	0	0	246	230	0	0	131	0	0	0	0	0	0	0	0	0	188	0	0	0	156	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0
